FCLTY_NM,CTGRY_ONE_NM,CTGRY_TWO_NM,CTGRY_THREE_NM,CTPRVN_NM,SIGNGU_NM,EMD_NM,LI_NM,LNBR_NO,ROAD_NM,BULD_NO,LC_LA,LC_LO,ZIP_NO,RDNMADR_NM,LNM_ADDR,TITLE_NM,PBLPRFR_KND_NM,PBLPRFR_BEGIN_DE,PBLPRFR_END_DE,AGE_VALUE,PBLPRFR_TIME_DC,REST_TIME,CST_CN,LAST_UPDT_DE
명주예술마당,전시/공연,영화/연극/공연,독립극장,강원도,강릉시,명주동,,49-1,경강로2021번길,9-1,37.75040333,128.8898121,25535,강원도 강릉시 경강로2021번길 9-1,강원도 강릉시 명주동 49-1 명주예술마당,세 여자 이야기 - 강릉,연극,20170603,20170608,만 13세이상,80분,,"박정자, 손숙, 윤석화",20221130
바보 소극장,전시/공연,영화/연극/공연,독립극장,강원도,춘천시,효자동,,629-5,서부대성로239번길,7,37.87333935,127.7448632,24289,강원도 춘천시 서부대성로239번길 7,강원도 춘천시 효자동 629-5,자명교 10대교주 - 부산,연극,20191209,20200131,만 15세이상,95분,,,20221130
바보 소극장,전시/공연,영화/연극/공연,독립극장,강원도,춘천시,효자동,,629-5,서부대성로239번길,7,37.87333935,127.7448632,24289,강원도 춘천시 서부대성로239번길 7,강원도 춘천시 효자동 629-5,하녀들 - 부산,연극,20181019,20181202,만 14세이상,95분,3분,,20221130
삼척문화예술회관 대공연장,전시/공연,영화/연극/공연,독립극장,강원도,삼척시,성남동,,2,엑스포로,45,37.43896328,129.1601383,25919,강원도 삼척시 엑스포로 45,강원도 삼척시 성남동 2 삼척문화예술회관,장수상회 - 삼척,연극,20180511,20180511,만 7세이상,90분,,"신구, 손숙, 이원재, 윤영민, 이아영, 이서환, 구옥분",20221130
삼척문화예술회관 소공연장,전시/공연,영화/연극/공연,독립극장,강원도,삼척시,성남동,,2,엑스포로,45,37.43896328,129.1601383,25919,강원도 삼척시 엑스포로 45,강원도 삼척시 성남동 2 삼척문화예술회관,곰,연극,20151025,20151025,전체관람가,90분,,김지수,20221130
삼척문화예술회관 소공연장,전시/공연,영화/연극/공연,독립극장,강원도,삼척시,성남동,,2,엑스포로,45,37.43896328,129.1601383,25919,강원도 삼척시 엑스포로 45,강원도 삼척시 성남동 2 삼척문화예술회관,막둥이,연극,20150511,20150514,전체관람가,90분,,김지수,20221130
삼척문화예술회관 소공연장,전시/공연,영화/연극/공연,독립극장,강원도,삼척시,성남동,,2,엑스포로,45,37.43896328,129.1601383,25919,강원도 삼척시 엑스포로 45,강원도 삼척시 성남동 2 삼척문화예술회관,옥탑방 달에게 묻다 - 삼척,연극,20161126,20161127,전체관람가,100분,,"이채현, 전치화",20221130
원주 백운아트홀,전시/공연,영화/연극/공연,독립극장,강원도,원주시,무실동,,1,시청로,1,37.34192499,127.9197228,26384,강원도 원주시 시청로 1,강원도 원주시 무실동 1 원주시청,나와 할아버지 - 원주,연극,20191227,20191228,만 7세이상,90분,,"진선규, 이희준, 서예화, 민준호",20221130
원주 백운아트홀,전시/공연,영화/연극/공연,독립극장,강원도,원주시,무실동,,1,시청로,1,37.34192499,127.9197228,26384,강원도 원주시 시청로 1,강원도 원주시 무실동 1 원주시청,제5회 원주아동극페스티벌 - 아크로바트,어린이/가족,20160715,20160716,전체관람가,50분,,,20221130
원주 백운아트홀,전시/공연,영화/연극/공연,독립극장,강원도,원주시,무실동,,1,시청로,1,37.34192499,127.9197228,26384,강원도 원주시 시청로 1,강원도 원주시 무실동 1 원주시청,"제5회 원주아동극페스티벌 - 우리, 달라",어린이/가족,20160708,20160709,전체관람가,50분,,,20221130
원주 백운아트홀,전시/공연,영화/연극/공연,독립극장,강원도,원주시,무실동,,1,시청로,1,37.34192499,127.9197228,26384,강원도 원주시 시청로 1,강원도 원주시 무실동 1 원주시청,제5회 원주아동극페스티벌 - 커다란 방귀,어린이/가족,20160717,20160718,전체관람가,50분,,,20221130
원주 백운아트홀,전시/공연,영화/연극/공연,독립극장,강원도,원주시,무실동,,1,시청로,1,37.34192499,127.9197228,26384,강원도 원주시 시청로 1,강원도 원주시 무실동 1 원주시청,제5회 원주아동극페스티벌 - 판타스틱 레이져,어린이/가족,20160710,20160711,전체관람가,50분,,,20221130
원주 백운아트홀,전시/공연,영화/연극/공연,독립극장,강원도,원주시,무실동,,1,시청로,1,37.34192499,127.9197228,26384,강원도 원주시 시청로 1,강원도 원주시 무실동 1 원주시청,제6회 원주아동극페스티벌 - 베,어린이/가족,20170709,20170710,전체관람가,50분,,,20221130
원주 백운아트홀,전시/공연,영화/연극/공연,독립극장,강원도,원주시,무실동,,1,시청로,1,37.34192499,127.9197228,26384,강원도 원주시 시청로 1,강원도 원주시 무실동 1 원주시청,제6회 원주아동극페스티벌 - 푸른 하늘 은하수,어린이/가족,20170716,20170717,전체관람가,50분,,,20221130
원주 어울림소극장,전시/공연,영화/연극/공연,독립극장,강원도,원주시,인동,,242-1,중앙로,27,37.34627613,127.9537717,26429,강원도 원주시 중앙로 27,강원도 원주시 인동 242-1,더 다이 - 원주,연극,20170627,20170630,만 12세이상,70분,,,20221130
원주 어울림소극장,전시/공연,영화/연극/공연,독립극장,강원도,원주시,인동,,242-1,중앙로,27,37.34627613,127.9537717,26429,강원도 원주시 중앙로 27,강원도 원주시 인동 242-1,목마와 숙녀 - 원주,연극,20170408,20170409,전체관람가,90분,,,20221130
원주 어울림소극장,전시/공연,영화/연극/공연,독립극장,강원도,원주시,인동,,242-1,중앙로,27,37.34627613,127.9537717,26429,강원도 원주시 중앙로 27,강원도 원주시 인동 242-1,바보아빠 - 원주,어린이/가족,20190815,20190817,전체관람가,90분,,"노정현, 김수영",20221130
원주 어울림소극장,전시/공연,영화/연극/공연,독립극장,강원도,원주시,인동,,242-1,중앙로,27,37.34627613,127.9537717,26429,강원도 원주시 중앙로 27,강원도 원주시 인동 242-1,어바웃 타임 - 원주,연극,20150714,20150816,만 10세이상,90분,,,20221130
원주 어울림소극장,전시/공연,영화/연극/공연,독립극장,강원도,원주시,인동,,242-1,중앙로,27,37.34627613,127.9537717,26429,강원도 원주시 중앙로 27,강원도 원주시 인동 242-1,제8회 원주아동극페스티벌 - 망태할아버지가 온다,어린이/가족,20190821,20190821,전체관람가,50분,,,20221130
원주 어울림소극장,전시/공연,영화/연극/공연,독립극장,강원도,원주시,인동,,242-1,중앙로,27,37.34627613,127.9537717,26429,강원도 원주시 중앙로 27,강원도 원주시 인동 242-1,풍경A - 원주,연극,20181019,20181021,전체관람가,80분,,,20221130
원주 어울림소극장,전시/공연,영화/연극/공연,독립극장,강원도,원주시,인동,,242-1,중앙로,27,37.34627613,127.9537717,26429,강원도 원주시 중앙로 27,강원도 원주시 인동 242-1,풍경A - 원주,연극,20180712,20180713,전체관람가,80분,,,20221130
원주치악예술관,전시/공연,영화/연극/공연,독립극장,강원도,원주시,명륜동,,589,서원대로,331,37.33543707,127.9446056,26447,강원도 원주시 서원대로 331,강원도 원주시 명륜동 589 치악예술관,2017 원주썸머페스티벌 - 옥탑방 고양이,연극,20170722,20170723,만 13세이상,100분,,,20221130
원주치악예술관,전시/공연,영화/연극/공연,독립극장,강원도,원주시,명륜동,,589,서원대로,331,37.33543707,127.9446056,26447,강원도 원주시 서원대로 331,강원도 원주시 명륜동 589 치악예술관,2017 원주썸머페스티벌 - 전명출 평전,연극,20170719,20170719,만 13세이상,100분,,,20221130
원주치악예술관,전시/공연,영화/연극/공연,독립극장,강원도,원주시,명륜동,,589,서원대로,331,37.33543707,127.9446056,26447,강원도 원주시 서원대로 331,강원도 원주시 명륜동 589 치악예술관,나비의 꿈 - 원주,연극,20180323,20180323,만 7세이상,80분,,,20221130
원주치악예술관,전시/공연,영화/연극/공연,독립극장,강원도,원주시,명륜동,,589,서원대로,331,37.33543707,127.9446056,26447,강원도 원주시 서원대로 331,강원도 원주시 명륜동 589 치악예술관,내사랑 사북 - 원주,연극,20170517,20170518,만 13세이상,80분,,,20221130
원주치악예술관,전시/공연,영화/연극/공연,독립극장,강원도,원주시,명륜동,,589,서원대로,331,37.33543707,127.9446056,26447,강원도 원주시 서원대로 331,강원도 원주시 명륜동 589 치악예술관,라이어 1탄 - 원주,연극,20190713,20190713,만 13세이상,100분,,"이동수, 전대현, 정용락, 이정근, 안유민, 김시영, 정보름, 신보희, 권혁준, 김원식, 정영성, 전정욱, 김재목, 김태근",20221130
원주치악예술관,전시/공연,영화/연극/공연,독립극장,강원도,원주시,명륜동,,589,서원대로,331,37.33543707,127.9446056,26447,강원도 원주시 서원대로 331,강원도 원주시 명륜동 589 치악예술관,민들레 바람되어 - 원주,연극,20161224,20161224,만 12세이상,90분,,"전노민, 이일화, 김상규, 강말금",20221130
원주치악예술관,전시/공연,영화/연극/공연,독립극장,강원도,원주시,명륜동,,589,서원대로,331,37.33543707,127.9446056,26447,강원도 원주시 서원대로 331,강원도 원주시 명륜동 589 치악예술관,백설공주를 사랑한 난장이 - 원주,연극,20171224,20171225,만 7세이상,80분,,,20221130
원주치악예술관,전시/공연,영화/연극/공연,독립극장,강원도,원주시,명륜동,,589,서원대로,331,37.33543707,127.9446056,26447,강원도 원주시 서원대로 331,강원도 원주시 명륜동 589 치악예술관,셜록홈즈 - 원주,연극,20170215,20170216,만 7세이상,90분,,"김경제, 안동혁, 문상준, 박유진, 박재현, 김려원",20221130
원주치악예술관,전시/공연,영화/연극/공연,독립극장,강원도,원주시,명륜동,,589,서원대로,331,37.33543707,127.9446056,26447,강원도 원주시 서원대로 331,강원도 원주시 명륜동 589 치악예술관,수상한 흥신소 - 원주,연극,20190718,20190718,만 13세이상,100분,,,20221130
원주치악예술관,전시/공연,영화/연극/공연,독립극장,강원도,원주시,명륜동,,589,서원대로,331,37.33543707,127.9446056,26447,강원도 원주시 서원대로 331,강원도 원주시 명륜동 589 치악예술관,에스메의 여름 - 원주,어린이/가족,20170218,20170219,만 5세이상,60분,,,20221130
원주치악예술관,전시/공연,영화/연극/공연,독립극장,강원도,원주시,명륜동,,589,서원대로,331,37.33543707,127.9446056,26447,강원도 원주시 서원대로 331,강원도 원주시 명륜동 589 치악예술관,오백에 삼십 - 원주,연극,20180714,20180715,만 13세이상,90분,,,20221130
원주치악예술관,전시/공연,영화/연극/공연,독립극장,강원도,원주시,명륜동,,589,서원대로,331,37.33543707,127.9446056,26447,강원도 원주시 서원대로 331,강원도 원주시 명륜동 589 치악예술관,오셀로 - 원주,연극,20170705,20170706,만 13세이상,80분,,,20221130
원주치악예술관,전시/공연,영화/연극/공연,독립극장,강원도,원주시,명륜동,,589,서원대로,331,37.33543707,127.9446056,26447,강원도 원주시 서원대로 331,강원도 원주시 명륜동 589 치악예술관,제4회 원주 아동극페스티벌 - 제리 마술사의 버블 마술쇼,어린이/가족,20150710,20150711,초등학생이상 관람가,50분,,,20221130
"원주MBC아트홀(구,공개홀)",전시/공연,영화/연극/공연,독립극장,강원도,원주시,무실동,,1,시청로,1,37.34192499,127.9197228,26384,강원도 원주시 시청로 1,강원도 원주시 무실동 1 원주시청,수상한 집주인 - 원주,연극,20150508,20150607,만 7세이상,90분,,이지영,20221130
"원주MBC아트홀(구,공개홀)",전시/공연,영화/연극/공연,독립극장,강원도,원주시,무실동,,1,시청로,1,37.34192499,127.9197228,26384,강원도 원주시 시청로 1,강원도 원주시 무실동 1 원주시청,오셀로 - 원주,연극,20161214,20161218,만 13세이상,80분,,,20221130
"원주MBC아트홀(구,공개홀)",전시/공연,영화/연극/공연,독립극장,강원도,원주시,무실동,,1,시청로,1,37.34192499,127.9197228,26384,강원도 원주시 시청로 1,강원도 원주시 무실동 1 원주시청,의자는 잘못없다 - 원주,연극,20150827,20150830,전체관람가,90분,,,20221130
인동소극장,전시/공연,영화/연극/공연,독립극장,강원도,원주시,인동,,242-1,중앙로,27,37.34627613,127.9537717,26429,강원도 원주시 중앙로 27,강원도 원주시 인동 242-1,가정식 백반 맛있게 먹는 법 - 원주,연극,20160202,20160305,전체관람가,80분,,,20221130
인동소극장,전시/공연,영화/연극/공연,독립극장,강원도,원주시,인동,,242-1,중앙로,27,37.34627613,127.9537717,26429,강원도 원주시 중앙로 27,강원도 원주시 인동 242-1,내기의 여왕 - 강원,연극,20171226,20171228,만 7세이상,80분,,,20221130
인동소극장,전시/공연,영화/연극/공연,독립극장,강원도,원주시,인동,,242-1,중앙로,27,37.34627613,127.9537717,26429,강원도 원주시 중앙로 27,강원도 원주시 인동 242-1,내기의 여왕 - 원주,연극,20170822,20170909,전체관람가,90분,,,20221130
인동소극장,전시/공연,영화/연극/공연,독립극장,강원도,원주시,인동,,242-1,중앙로,27,37.34627613,127.9537717,26429,강원도 원주시 중앙로 27,강원도 원주시 인동 242-1,오늘의 운세 - 원주,연극,20160927,20161015,전체관람가,80분,,,20221130
인제하늘내린센터 다목적공연장,전시/공연,영화/연극/공연,독립극장,강원도,인제군,인제읍,남북리,388,비봉로44번길,100,38.06067411,128.164952,24624,강원도 인제군 인제읍 비봉로44번길 100,강원도 인제군 인제읍 남북리 388 하늘내린센터,동요콘서트 구름빵 - 인제,어린이/가족,20170511,20170511,초등학생이상 관람가,50분,,,20221130
인제하늘내린센터 다목적공연장,전시/공연,영화/연극/공연,독립극장,강원도,인제군,인제읍,남북리,388,비봉로44번길,100,38.06067411,128.164952,24624,강원도 인제군 인제읍 비봉로44번길 100,강원도 인제군 인제읍 남북리 388 하늘내린센터,라이어 2탄 - 인제,연극,20170520,20170520,만 13세이상,90분,,,20221130
인제하늘내린센터 다목적공연장,전시/공연,영화/연극/공연,독립극장,강원도,인제군,인제읍,남북리,388,비봉로44번길,100,38.06067411,128.164952,24624,강원도 인제군 인제읍 비봉로44번길 100,강원도 인제군 인제읍 남북리 388 하늘내린센터,에스메의 여름 - 인제,어린이/가족,20161209,20161209,48개월이상,60분,,,20221130
인제하늘내린센터 다목적공연장,전시/공연,영화/연극/공연,독립극장,강원도,인제군,인제읍,남북리,388,비봉로44번길,100,38.06067411,128.164952,24624,강원도 인제군 인제읍 비봉로44번길 100,강원도 인제군 인제읍 남북리 388 하늘내린센터,오백에 삼십 - 인제,연극,20170415,20170416,만 13세이상,100분,,,20221130
인제하늘내린센터 다목적공연장,전시/공연,영화/연극/공연,독립극장,강원도,인제군,인제읍,남북리,388,비봉로44번길,100,38.06067411,128.164952,24624,강원도 인제군 인제읍 비봉로44번길 100,강원도 인제군 인제읍 남북리 388 하늘내린센터,품바 - 인제,연극,20151121,20151121,만 13세이상,80분,,,20221130
인제하늘내린센터 대공연장,전시/공연,영화/연극/공연,독립극장,강원도,인제군,인제읍,남북리,388,비봉로44번길,100,38.06067411,128.164952,24624,강원도 인제군 인제읍 비봉로44번길 100,강원도 인제군 인제읍 남북리 388 하늘내린센터,골든타임 - 인제,연극,20190629,20190629,초등학생이상 관람가,90분,,,20221130
인제하늘내린센터 대공연장,전시/공연,영화/연극/공연,독립극장,강원도,인제군,인제읍,남북리,388,비봉로44번길,100,38.06067411,128.164952,24624,강원도 인제군 인제읍 비봉로44번길 100,강원도 인제군 인제읍 남북리 388 하늘내린센터,꿈에 본 내 고향 - 인제,퍼포먼스,20161210,20161210,만 7세이상,110분,,"이대로, 심양홍, 전원주, 남현주",20221130
인제하늘내린센터 대공연장,전시/공연,영화/연극/공연,독립극장,강원도,인제군,인제읍,남북리,388,비봉로44번길,100,38.06067411,128.164952,24624,강원도 인제군 인제읍 비봉로44번길 100,강원도 인제군 인제읍 남북리 388 하늘내린센터,누가 내 머리에 똥 쌌어 - 인제,어린이/가족,20160504,20160504,전체관람가,60분,,,20221130
인제하늘내린센터 대공연장,전시/공연,영화/연극/공연,독립극장,강원도,인제군,인제읍,남북리,388,비봉로44번길,100,38.06067411,128.164952,24624,강원도 인제군 인제읍 비봉로44번길 100,강원도 인제군 인제읍 남북리 388 하늘내린센터,사랑별곡 - 인제,연극,20181110,20181110,초등학생이상 관람가,100분,,,20221130
인제하늘내린센터 대공연장,전시/공연,영화/연극/공연,독립극장,강원도,인제군,인제읍,남북리,388,비봉로44번길,100,38.06067411,128.164952,24624,강원도 인제군 인제읍 비봉로44번길 100,강원도 인제군 인제읍 남북리 388 하늘내린센터,수상한 흥신소 - 인제,연극,20190928,20190928,초등학생이상 관람가,100분,,,20221130
인제하늘내린센터 대공연장,전시/공연,영화/연극/공연,독립극장,강원도,인제군,인제읍,남북리,388,비봉로44번길,100,38.06067411,128.164952,24624,강원도 인제군 인제읍 비봉로44번길 100,강원도 인제군 인제읍 남북리 388 하늘내린센터,여보 나도 할말있어 - 인제,연극,20150920,20150920,만 12세이상,80분,,"권혜영, 유형관, 이훈",20221130
인제하늘내린센터 대공연장,전시/공연,영화/연극/공연,독립극장,강원도,인제군,인제읍,남북리,388,비봉로44번길,100,38.06067411,128.164952,24624,강원도 인제군 인제읍 비봉로44번길 100,강원도 인제군 인제읍 남북리 388 하늘내린센터,오아시스 세탁소 습격사건 - 인제,연극,20191122,20191123,초등학생이상 관람가,90분,,,20221130
인제하늘내린센터 대공연장,전시/공연,영화/연극/공연,독립극장,강원도,인제군,인제읍,남북리,388,비봉로44번길,100,38.06067411,128.164952,24624,강원도 인제군 인제읍 비봉로44번길 100,강원도 인제군 인제읍 남북리 388 하늘내린센터,유도소년 - 인제,연극,20151115,20151115,만 13세이상,115분,,,20221130
인제하늘내린센터 대공연장,전시/공연,영화/연극/공연,독립극장,강원도,인제군,인제읍,남북리,388,비봉로44번길,100,38.06067411,128.164952,24624,강원도 인제군 인제읍 비봉로44번길 100,강원도 인제군 인제읍 남북리 388 하늘내린센터,"조씨고아, 복수의 씨앗 - 인제",연극,20181013,20181013,중학생이상 관람가,150분,15분,"하성광, 장두이, 정진각, 이영석, 유순웅, 조연호, 이지현, 성노진, 장재호, 호산, 강득종, 김명기, 김도완, 전유경, 우정원, 이형훈",20221130
인제하늘내린센터 대공연장,전시/공연,영화/연극/공연,독립극장,강원도,인제군,인제읍,남북리,388,비봉로44번길,100,38.06067411,128.164952,24624,강원도 인제군 인제읍 비봉로44번길 100,강원도 인제군 인제읍 남북리 388 하늘내린센터,홍도 - 인제,연극,20160521,20160522,만 7세이상,100분,,,20221130
작은공연장 단,전시/공연,영화/연극/공연,독립극장,강원도,강릉시,명주동,,12-2,경강로2046번길,5,37.75125898,128.8927905,25538,강원도 강릉시 경강로2046번길 5,강원도 강릉시 명주동 12-2 작은공연장 단,강원 연극제 - 달나라연속극,연극,20150411,20150411,전체관람가,90분,,김지수,20221130
작은공연장 단,전시/공연,영화/연극/공연,독립극장,강원도,강릉시,명주동,,12-2,경강로2046번길,5,37.75125898,128.8927905,25538,강원도 강릉시 경강로2046번길 5,강원도 강릉시 명주동 12-2 작은공연장 단,그게 아닌데 - 강릉,연극,20180316,20180317,만 14세이상,90분,,김신실,20221130
작은공연장 단,전시/공연,영화/연극/공연,독립극장,강원도,강릉시,명주동,,12-2,경강로2046번길,5,37.75125898,128.8927905,25538,강원도 강릉시 경강로2046번길 5,강원도 강릉시 명주동 12-2 작은공연장 단,만선 - 강릉,연극,20161014,20161017,만 14세이상,120분,,,20221130
작은공연장 단,전시/공연,영화/연극/공연,독립극장,강원도,강릉시,명주동,,12-2,경강로2046번길,5,37.75125898,128.8927905,25538,강원도 강릉시 경강로2046번길 5,강원도 강릉시 명주동 12-2 작은공연장 단,미스터쉐프,연극,20170324,20170331,전체관람가,80분,,김지수,20221130
청년마을,전시/공연,영화/연극/공연,독립극장,강원도,원주시,중앙동,,118-3,중앙로,89,37.34893897,127.9510263,26428,강원도 원주시 중앙로 89,강원도 원주시 중앙동 118-3 시민복지센터,하녀 - 원주,연극,20170608,20170618,만 13세이상,70분,,,20221130
축제극장 몸짓,전시/공연,영화/연극/공연,독립극장,강원도,춘천시,효자동,,531,춘천로,112,37.87309537,127.7278102,24336,강원도 춘천시 춘천로 112,강원도 춘천시 효자동 531 축제극장몸짓,2015 춘천국제연극제 - 6월 26일,연극,20150513,20150513,만 12세이상,90분,,,20221130
축제극장 몸짓,전시/공연,영화/연극/공연,독립극장,강원도,춘천시,효자동,,531,춘천로,112,37.87309537,127.7278102,24336,강원도 춘천시 춘천로 112,강원도 춘천시 효자동 531 축제극장몸짓,2015 춘천국제연극제 - 여자 이발사,연극,20150515,20150515,만 14세이상,105분,,,20221130
축제극장 몸짓,전시/공연,영화/연극/공연,독립극장,강원도,춘천시,효자동,,531,춘천로,112,37.87309537,127.7278102,24336,강원도 춘천시 춘천로 112,강원도 춘천시 효자동 531 축제극장몸짓,2015 춘천국제연극제 - 자라,연극,20150511,20150511,만 8세이상,50분,,,20221130
축제극장 몸짓,전시/공연,영화/연극/공연,독립극장,강원도,춘천시,효자동,,531,춘천로,112,37.87309537,127.7278102,24336,강원도 춘천시 춘천로 112,강원도 춘천시 효자동 531 축제극장몸짓,2015 춘천마임축제 - 빈손,퍼포먼스,20150528,20150528,만 12세이상,60분,,,20221130
축제극장 몸짓,전시/공연,영화/연극/공연,독립극장,강원도,춘천시,효자동,,531,춘천로,112,37.87309537,127.7278102,24336,강원도 춘천시 춘천로 112,강원도 춘천시 효자동 531 축제극장몸짓,2015 춘천마임축제 - 툴쿠의 꿈,퍼포먼스,20150525,20150526,만 19세이상,56분,,,20221130
축제극장 몸짓,전시/공연,영화/연극/공연,독립극장,강원도,춘천시,효자동,,531,춘천로,112,37.87309537,127.7278102,24336,강원도 춘천시 춘천로 112,강원도 춘천시 효자동 531 축제극장몸짓,2016 춘천연극제 - 6월 26일,연극,20160703,20160703,만 11세이상,90분,,,20221130
축제극장 몸짓,전시/공연,영화/연극/공연,독립극장,강원도,춘천시,효자동,,531,춘천로,112,37.87309537,127.7278102,24336,강원도 춘천시 춘천로 112,강원도 춘천시 효자동 531 축제극장몸짓,2016 춘천연극제 - 무무,연극,20160711,20160711,전체관람가,70분,,,20221130
축제극장 몸짓,전시/공연,영화/연극/공연,독립극장,강원도,춘천시,효자동,,531,춘천로,112,37.87309537,127.7278102,24336,강원도 춘천시 춘천로 112,강원도 춘천시 효자동 531 축제극장몸짓,2016 춘천연극제 - 사천의 착한 여자,연극,20160709,20160709,만 15세이상,100분,,,20221130
축제극장 몸짓,전시/공연,영화/연극/공연,독립극장,강원도,춘천시,효자동,,531,춘천로,112,37.87309537,127.7278102,24336,강원도 춘천시 춘천로 112,강원도 춘천시 효자동 531 축제극장몸짓,2016 춘천연극제 - 어둠 속의 햄릿,연극,20160707,20160707,만 13세이상,60분,,,20221130
축제극장 몸짓,전시/공연,영화/연극/공연,독립극장,강원도,춘천시,효자동,,531,춘천로,112,37.87309537,127.7278102,24336,강원도 춘천시 춘천로 112,강원도 춘천시 효자동 531 축제극장몸짓,2016 춘천연극제 - 홍시 열리는 집,연극,20160705,20160705,전체관람가,90분,,,20221130
축제극장 몸짓,전시/공연,영화/연극/공연,독립극장,강원도,춘천시,효자동,,531,춘천로,112,37.87309537,127.7278102,24336,강원도 춘천시 춘천로 112,강원도 춘천시 효자동 531 축제극장몸짓,2017 춘천연극제 - 그의 하루,연극,20170710,20170710,만 12세이상,60분,,,20221130
축제극장 몸짓,전시/공연,영화/연극/공연,독립극장,강원도,춘천시,효자동,,531,춘천로,112,37.87309537,127.7278102,24336,강원도 춘천시 춘천로 112,강원도 춘천시 효자동 531 축제극장몸짓,2017 춘천연극제 - 뱃놀이가잔다,연극,20170702,20170702,만 15세이상,85분,,정아더,20221130
축제극장 몸짓,전시/공연,영화/연극/공연,독립극장,강원도,춘천시,효자동,,531,춘천로,112,37.87309537,127.7278102,24336,강원도 춘천시 춘천로 112,강원도 춘천시 효자동 531 축제극장몸짓,2017 춘천연극제 - 변신,연극,20170708,20170708,만 14세이상,85분,,,20221130
